No module named MySQLdb
         265001657 function calls (264134123 primitive calls) in 589.767 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  3339169    2.283    0.000    4.994    0.000 tree.py:276(add_feature)
  3803728    2.283    0.000    5.278    0.000 TreeClass.py:32(get_child_at)
 12615907    2.240    0.000    2.240    0.000 {method 'extend' of 'collections.deque' objects}
 12750294    2.154    0.000    2.154    0.000 {method 'add' of 'set' objects}
   186828    2.081    0.000  173.957    0.001 ClusteringUtils.py:157(NJ_cluster)
   917965    2.078    0.000    3.275    0.000 tree.py:283(add_features)
   998360    2.074    0.000    4.551    0.000 tree.py:299(add_child)
   203363    2.065    0.000    7.514    0.000 newick.py:299(_read_node_data)
  7597515    2.052    0.000    2.358    0.000 {getattr}
  1523194    1.873    0.000   17.123    0.000 {method 'all' of 'numpy.ndarray' objects}
  4257715    1.846    0.000    2.573    0.000 {setattr}
   155357    1.726    0.000   16.724    0.000 tree.py:633(get_descendants)
   153208    1.711    0.000   17.282    0.000 TreeClass.py:442(get_descendant_name)
818677/616938    1.644    0.000   22.919    0.000 TreeClass.py:27(__init__)
     1622    1.626    0.001    8.504    0.005 newick.py:390(write_newick)
   373656    1.575    0.000    1.575    0.000 {numpy.core.multiarray.copyto}
     3772    1.508    0.000   12.078    0.003 TreeClass.py:472(iter_polytomies)
   186828    1.439    0.000   60.878    0.000 ClusteringUtils.py:60(del_row_column)
   186828    1.369    0.000    1.369    0.000 index_tricks.py:645(fill_diagonal)
   605018    1.352    0.000    1.352    0.000 {method 'index' of 'list' objects}
     4592    1.329    0.000    3.390    0.001 tree.py:844(get_common_ancestor)
   186828    1.328    0.000    1.328    0.000 {numpy.lib._compiled_base.unravel_index}
  2312616    1.302    0.000    1.302    0.000 {method 'pop' of 'list' objects}
  1353297    1.254    0.000    1.638    0.000 {map}
 12822827    1.212    0.000    1.212    0.000 {method 'popleft' of 'collections.deque' objects}
   759669    1.157    0.000    1.588    0.000 TreeClass.py:327(is_polytomy)
   304936    1.154    0.000    1.761    0.000 tree.py:679(iter_prepostorder)
42348/1622    1.153    0.000    3.733    0.002 Multpolysolver.py:170(findPathFromTable)
   202750    1.124    0.000    1.947    0.000 newick.py:108(format_node)
   637121    1.097    0.000    1.097    0.000 {method 'extend' of 'list' objects}
   408752    1.020    0.000    1.021    0.000 {method 'sub' of '_sre.SRE_Pattern' objects}
  1058599    0.970    0.000    0.970    0.000 tree.py:156(_set_up)
   612272    0.964    0.000    1.354    0.000 re.py:226(_compile)
  4359168    0.937    0.000    0.937    0.000 {hasattr}
  5125555    0.932    0.000    0.932    0.000 {method 'iteritems' of 'dict' objects}
421872/528    0.893    0.000   22.121    0.042 TreeClass.py:98(_recur_simple_copy)
   202750    0.862    0.000    1.957    0.000 newick.py:417(_get_features_string)
   203738    0.838    0.000    0.838    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
     1624    0.830    0.001    9.955    0.006 newick.py:228(_read_newick_from_string)
   373656    0.785    0.000    0.785    0.000 {method 'flatten' of 'numpy.ndarray' objects}
   386829    0.775    0.000    0.775    0.000 {numpy.core.multiarray.where}
  2962012    0.751    0.000    0.751    0.000 TreeClass.py:356(has_feature)
   373656    0.746    0.000    0.746    0.000 {method 'sort' of 'numpy.ndarray' objects}
    46730    0.732    0.000    1.078    0.000 Multpolysolver.py:423(findSpeciationBestJoint)
   373656    0.730    0.000    3.391    0.000 numeric.py:136(ones)
  1149538    0.710    0.000    0.710    0.000 {method 'tolist' of 'numpy.ndarray' objects}
   738968    0.709    0.000    0.709    0.000 {range}
   202750    0.625    0.000    1.452    0.000 newick.py:286(_parse_extra_features)
   186828    0.568    0.000    0.568    0.000 {method 'argmin' of 'numpy.ndarray' objects}
   373656    0.519    0.000    3.446    0.000 fromnumeric.py:1716(product)
   764270    0.512    0.000    0.512    0.000 {method 'split' of 'str' objects}
   186828    0.502    0.000  174.540    0.001 ClusteringUtils.py:223(TreeCluster)
   186828    0.500    0.000    2.396    0.000 ClusteringUtils.py:12(find_smallest_index)
   373656    0.495    0.000    0.495    0.000 {numpy.core.multiarray.can_cast}
   373656    0.493    0.000    4.048    0.000 fromnumeric.py:51(take)
   301238    0.473    0.000    0.618    0.000 TreeClass.py:334(is_binary)
   373656    0.473    0.000    0.809    0.000 numeric.py:1810(isscalar)
   408746    0.446    0.000    2.284    0.000 re.py:144(sub)
     1622    0.433    0.000    4.513    0.003 Multpolysolver.py:509(findMaxX)
   625230    0.420    0.000    0.420    0.000 tree.py:140(_set_dist)
   423327    0.385    0.000    0.385    0.000 {method 'remove' of 'list' objects}
   617386    0.368    0.000    0.368    0.000 {method 'get' of 'dict' objects}
     4592    0.352    0.000    1.460    0.000 tree.py:1983(_translate_nodes)
   747333    0.333    0.000    0.333    0.000 {method 'lower' of 'str' objects}
   209073    0.332    0.000    0.434    0.000 tree.py:739(_iter_descendants_preorder)
   818678    0.311    0.000    0.311    0.000 {method 'update' of 'set' objects}
   522524    0.307    0.000    0.307    0.000 tree.py:148(_set_support)
  1326681    0.301    0.000    0.301    0.000 tree.py:154(_get_up)
     2149    0.263    0.000    2.367    0.001 TreeClass.py:427(get_descendant_species)
   203481    0.247    0.000    1.598    0.000 re.py:134(match)
  2332912    0.247    0.000    0.247    0.000 Multpolysolver.py:320(<lambda>)
   405674    0.240    0.000    0.240    0.000 {method 'replace' of 'str' objects}
   202750    0.234    0.000    0.302    0.000 newick.py:395(<lambda>)
        1    0.229    0.229  589.304  589.304 Multpolysolver.py:546(solvePolytomy)
    87561    0.221    0.000    0.417    0.000 TreeClass.py:418(get_children_name)
   373656    0.203    0.000    0.203    0.000 {method 'item' of 'numpy.ndarray' objects}
  1708136    0.197    0.000    0.197    0.000 tree.py:228(__nonzero__)
   624622    0.184    0.000    0.184    0.000 tree.py:138(_get_dist)
   107156    0.177    0.000    0.858    0.000 tree.py:578(iter_leaves)
   871877    0.160    0.000    0.160    0.000 {method 'strip' of 'str' objects}
   218798    0.159    0.000    0.159    0.000 tree.py:643(traverse)
    47529    0.141    0.000   15.596    0.000 tree.py:924(search_nodes)
    15041    0.131    0.000  202.601    0.013 TreeClass.py:41(copy)
   207495    0.127    0.000    0.127    0.000 {method 'startswith' of 'str' objects}
   522436    0.122    0.000    0.122    0.000 tree.py:146(_get_support)
   849486    0.110    0.000    0.110    0.000 {method 'setdefault' of 'dict' objects}
   203363    0.106    0.000    0.106    0.000 {method 'groups' of '_sre.SRE_Match' objects}
   275808    0.099    0.000    0.099    0.000 Multpolysolver.py:501(<lambda>)
    90628    0.096    0.000    0.096    0.000 {method 'join' of 'str' objects}
   374245    0.095    0.000    0.095    0.000 {abs}
    33401    0.072    0.000    0.136    0.000 tree.py:326(remove_child)
        1    0.064    0.064    0.141    0.141 ClusteringUtils.py:230(distMatProcessor)
    59748    0.059    0.000    0.059    0.000 {method 'intersection' of 'set' objects}
   160400    0.051    0.000    0.051    0.000 ClusteringUtils.py:274(getIntValue)
   206920    0.044    0.000    0.044    0.000 {method 'extendleft' of 'collections.deque' objects}
     1628    0.040    0.000    0.040    0.000 {posix.stat}
     2150    0.038    0.000    0.891    0.000 tree.py:593(get_leaves)
        1    0.031    0.031    0.031    0.031 main.py:40(<module>)
     1622    0.026    0.000    0.034    0.000 TreeUtils.py:236(getSpecieCount)
     3248    0.025    0.000    0.025    0.000 {method 'count' of 'str' objects}
3974/3562    0.022    0.000    0.039    0.000 Multpolysolver.py:132(findSpeciationPathFromTable)
    31603    0.021    0.000    0.021    0.000 {method 'keys' of 'dict' objects}
    13173    0.020    0.000    0.139    0.000 _methods.py:19(_amin)
      196    0.020    0.000    0.053    0.000 doccer.py:12(docformat)
     1624    0.020    0.000   10.032    0.006 newick.py:192(read_newick)
    69618    0.018    0.000    0.018    0.000 Multpolysolver.py:325(<lambda>)
    44286    0.017    0.000    0.017    0.000 {min}
     1622    0.017    0.000    8.521    0.005 tree.py:794(write)
    13173    0.014    0.000    0.153    0.000 {method 'min' of 'numpy.ndarray' objects}
     3771    0.014    0.000    1.165    0.000 function_base.py:786(copy)
        2    0.013    0.007    0.036    0.018 machar.py:113(_do_init)
       16    0.013    0.001    0.592    0.037 __init__.py:1(<module>)
     1622    0.011    0.000    0.020    0.000 TreeClass.py:409(get_children_species)
     1628    0.011    0.000    0.051    0.000 genericpath.py:15(exists)
     5684    0.010    0.000    0.010    0.000 {method 'expandtabs' of 'str' objects}
     1621    0.009    0.000    0.058    0.000 TreeClass.py:559(replace_child)
        4    0.008    0.002    0.038    0.010 __init__.py:40(<module>)
     5692    0.007    0.000    0.007    0.000 {method 'splitlines' of 'str' objects}
    10806    0.007    0.000    0.007    0.000 {method 'values' of 'dict' objects}
      196    0.007    0.000    0.011    0.000 doccer.py:128(indentcount_lines)
        1    0.006    0.006    0.025    0.025 _phyloxml.py:40(<module>)
    16186    0.006    0.000    0.006    0.000 Multpolysolver.py:262(<lambda>)
     1059    0.005    0.000    0.005    0.000 {method 'astype' of 'numpy.ndarray' objects}
      273    0.005    0.000    0.006    0.000 function_base.py:2945(add_newdoc)
   237/48    0.004    0.000    0.011    0.000 sre_parse.py:379(_parse)
    12044    0.004    0.000    0.004    0.000 Multpolysolver.py:397(<lambda>)
        1    0.004    0.004    0.098    0.098 distributions.py:5(<module>)
       10    0.004    0.000    0.005    0.000 collections.py:288(namedtuple)
      213    0.003    0.000    0.005    0.000 sre_compile.py:207(_optimize_charset)
   529/45    0.003    0.000    0.011    0.000 sre_compile.py:32(_compile)
        1    0.003    0.003    0.146    0.146 stats.py:166(<module>)
        1    0.003    0.003    0.004    0.004 polynomial.py:55(<module>)
      106    0.003    0.000    0.013    0.000 six.py:539(exec_)
        1    0.003    0.003    0.004    0.004 _nexml.py:40(<module>)
        1    0.003    0.003    0.003    0.003 chebyshev.py:87(<module>)
        1    0.003    0.003    0.003    0.003 legendre.py:83(<module>)
        1    0.002    0.002    0.003    0.003 hermite.py:59(<module>)
        1    0.002    0.002    0.003    0.003 hermite_e.py:59(<module>)
     2024    0.002    0.000    0.020    0.000 fromnumeric.py:1762(any)
        1    0.002    0.002    0.003    0.003 laguerre.py:59(<module>)
     1835    0.002    0.000    0.002    0.000 {max}
        1    0.002    0.002    0.002    0.002 socket.py:45(<module>)
       98    0.002    0.000    0.017    0.000 distributions.py:554(_construct_argparser)
     2124    0.002    0.000    0.002    0.000 sre_parse.py:182(__next)
        1    0.002    0.002    0.003    0.003 numeric.py:1(<module>)
        1    0.002    0.002    0.003    0.003 case.py:1(<module>)
     2024    0.002    0.000    0.014    0.000 {method 'any' of 'numpy.ndarray' objects}
     2024    0.002    0.000    0.012    0.000 _methods.py:31(_any)
        1    0.002    0.002    0.020    0.020 __init__.py:15(<module>)
     2028    0.001    0.000    0.004    0.000 numeric.py:462(asanyarray)
    11968    0.001    0.000    0.001    0.000 {method 'lstrip' of 'str' objects}
        1    0.001    0.001    0.002    0.002 __init__.py:88(<module>)
  775/301    0.001    0.000    0.002    0.000 sre_parse.py:140(getwidth)
        7    0.001    0.000    0.001    0.000 {imp.load_module}
       43    0.001    0.000    0.001    0.000 sre_compile.py:258(_mk_bitmap)
        1    0.001    0.001    0.060    0.060 __init__.py:106(<module>)
        1    0.001    0.001    0.096    0.096 tree.py:40(<module>)
       85    0.001    0.000    0.064    0.001 distributions.py:1037(__init__)
     2301    0.001    0.000    0.002    0.000 sre_parse.py:130(__getitem__)
        1    0.001    0.001    0.169    0.169 TreeUtils.py:284(polySolverPreprocessing)
        2    0.001    0.001    0.006    0.003 __init__.py:38(<module>)
        1    0.001    0.001    0.148    0.148 __init__.py:321(<module>)
      393    0.001    0.000    0.001    0.000 function_base.py:1519(__init__)
        1    0.001    0.001    0.002    0.002 __init__.py:527(<module>)
        1    0.001    0.001    0.001    0.001 linalg.py:10(<module>)
     1861    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
        1    0.001    0.001    0.015    0.015 _root.py:7(<module>)
        1    0.001    0.001    0.005    0.005 __init__.py:197(<module>)
        1    0.001    0.001    0.002    0.002 Image.py:27(<module>)
        1    0.001    0.001    0.002    0.002 pickle.py:25(<module>)
        1    0.001    0.001    0.043    0.043 __init__.py:151(<module>)
     1915    0.001    0.000    0.001    0.000 {method 'pop' of 'set' objects}
        1    0.001    0.001    0.001    0.001 __init__.py:4(<module>)
        1    0.001    0.001    0.005    0.005 __init__.py:45(<module>)
      211    0.001    0.000    0.001    0.000 inspect.py:744(getargs)
        1    0.001    0.001    0.018    0.018 __init__.py:142(<module>)
        1    0.001    0.001    0.003    0.003 npyio.py:1(<module>)
        3    0.001    0.000    0.004    0.001 __init__.py:3(<module>)
       85    0.001    0.000    0.048    0.001 distributions.py:1114(_construct_doc)
        1    0.001    0.001    0.001    0.001 __init__.py:119(<module>)
        1    0.001    0.001    0.061    0.061 faces.py:40(<module>)
        2    0.001    0.000    0.001    0.001 function_base.py:1(<module>)
        1    0.001    0.001    0.003    0.003 index_tricks.py:1(<module>)
     1723    0.001    0.000    0.002    0.000 sre_parse.py:201(get)
   162/45    0.001    0.000    0.011    0.000 sre_parse.py:301(_parse_sub)
        1    0.001    0.001    0.003    0.003 httplib.py:67(<module>)
        1    0.001    0.001    0.006    0.006 __init__.py:7(<module>)
        1    0.001    0.001    0.003    0.003 pilutil.py:7(<module>)
      213    0.001    0.000    0.006    0.000 sre_compile.py:178(_compile_charset)
        1    0.001    0.001    0.002    0.002 __init__.py:2(<module>)
        1    0.001    0.001    0.003    0.003 iterative.py:1(<module>)
        1    0.001    0.001    0.001    0.001 _minimize.py:8(<module>)
        1    0.001    0.001    0.001    0.001 _ode.py:39(<module>)
      211    0.001    0.000    0.002    0.000 inspect.py:804(getargspec)
        1    0.001    0.001    0.001    0.001 hashlib.py:55(<module>)
        1    0.001    0.001    0.007    0.007 __init__.py:104(<module>)
        1    0.001    0.001    0.002    0.002 __init__.py:48(<module>)
        1    0.000    0.000    0.001    0.001 basic.py:7(<module>)
        1    0.000    0.000    0.013    0.013 TreeUtils.py:5(<module>)
        1    0.000    0.000    0.002    0.002 linsolve.py:1(<module>)
        1    0.000    0.000    0.001    0.001 arrayprint.py:5(<module>)
        1    0.000    0.000    0.001    0.001 basic.py:5(<module>)
        1    0.000    0.000    0.001    0.001 core.py:21(<module>)
        1    0.000    0.000  589.779  589.779 Multpolysolver.py:1(<module>)
        1    0.000    0.000    0.001    0.001 collections.py:1(<module>)
        1    0.000    0.000    0.000    0.000 lapack.py:201(<module>)
      400    0.000    0.000    0.001    0.000 TreeClass.py:279(_extractFeatureName)
        8    0.000    0.000    0.000    0.000 {compile}
      666    0.000    0.000    0.001    0.000 string.py:158(convert)
        1    0.000    0.000    0.001    0.001 mimetools.py:1(<module>)
        1    0.000    0.000    0.000    0.000 arpack.py:7(<module>)
        1    0.000    0.000    0.001    0.001 io.py:34(<module>)
        1    0.000    0.000    0.004    0.004 TreeClass.py:227(set_species)
        1    0.000    0.000    0.002    0.002 compat.py:3(<module>)
        1    0.000    0.000    0.001    0.001 six.py:1(<module>)
        1    0.000    0.000    0.000    0.000 mstats.py:78(<module>)
     1512    0.000    0.000    0.001    0.000 sre_parse.py:195(match)
        1    0.000    0.000    0.002    0.002 ctypeslib.py:51(<module>)
      436    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x91f8e0}
        1    0.000    0.000    0.000    0.000 blas.py:119(<module>)
       15    0.000    0.000    0.000    0.000 {dir}
        1    0.000    0.000    0.003    0.003 webapp.py:40(<module>)
        1    0.000    0.000    0.002    0.002 __init__.py:44(<module>)
        1    0.000    0.000    0.014    0.014 nonlin.py:110(<module>)
        1    0.000    0.000    0.004    0.004 matfuncs.py:5(<module>)
      400    0.000    0.000    0.000    0.000 TreeClass.py:588(_capitalize)
     1140    0.000    0.000    0.000    0.000 sre_parse.py:126(__len__)
        1    0.000    0.000    0.000    0.000 utils.py:4(<module>)
        1    0.000    0.000    0.001    0.001 __init__.py:19(<module>)
      259    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
      252    0.000    0.000    0.001    0.000 sre_compile.py:354(_simple)
        1    0.000    0.000    0.003    0.003 __init__.py:65(<module>)
        1    0.000    0.000    0.001    0.001 random.py:40(<module>)
        1    0.000    0.000    0.000    0.000 defmatrix.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _datasource.py:33(<module>)
        1    0.000    0.000    0.014    0.014 inspect.py:25(<module>)
        1    0.000    0.000    0.002    0.002 csr.py:1(<module>)
        1    0.000    0.000    0.000    0.000 optimize.py:17(<module>)
        1    0.000    0.000    0.003    0.003 cgi.py:16(<module>)
        1    0.000    0.000    0.001    0.001 urllib.py:23(<module>)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:18(<module>)
        1    0.000    0.000    0.001    0.001 result.py:1(<module>)
        1    0.000    0.000    0.001    0.001 evoltree.py:40(<module>)
      730    0.000    0.000    0.000    0.000 sre_parse.py:138(append)
        1    0.000    0.000    0.000    0.000 morestats.py:5(<module>)
        1    0.000    0.000    0.002    0.002 __init__.py:173(<module>)
        2    0.000    0.000    0.000    0.000 __init__.py:10(<module>)
      485    0.000    0.000    0.000    0.000 urlparse.py:332(<genexpr>)
       45    0.000    0.000    0.002    0.000 sre_compile.py:359(_compile_info)
        1    0.000    0.000    0.001    0.001 numerictypes.py:82(<module>)
      485    0.000    0.000    0.000    0.000 urllib.py:1206(<genexpr>)
       11    0.000    0.000    0.001    0.000 abc.py:86(__new__)
       13    0.000    0.000    0.009    0.001 distributions.py:6351(__init__)
        1    0.000    0.000    0.001    0.001 umfpack.py:6(<module>)
        1    0.000    0.000    0.031    0.031 add_newdocs.py:10(<module>)
        1    0.000    0.000    0.001    0.001 TreeUtils.py:212(reset_node_name)
       45    0.000    0.000    0.024    0.001 sre_compile.py:493(compile)
        1    0.000    0.000    0.152    0.152 clustvalidation.py:1(<module>)
     2248    0.000    0.000    0.000    0.000 {chr}
      283    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
      529    0.000    0.000    0.000    0.000 sre_parse.py:90(__init__)
       45    0.000    0.000    0.011    0.000 sre_parse.py:675(parse)
        1    0.000    0.000    0.011    0.011 tokenize.py:23(<module>)
        1    0.000    0.000    0.000    0.000 phylotree.py:1(<module>)
        1    0.000    0.000    0.001    0.001 decorator.py:33(<module>)
        1    0.000    0.000    0.000    0.000 newick.py:1(<module>)
        1    0.000    0.000    0.000    0.000 phylomeDB3.py:1(<module>)
       44    0.000    0.000    0.000    0.000 nosetester.py:140(__init__)
      117    0.000    0.000    0.000    0.000 {method 'copy' of 'dict' objects}
      159    0.000    0.000    0.000    0.000 sre_parse.py:257(_escape)
        1    0.000    0.000    0.000    0.000 socks.py:31(<module>)
        1    0.000    0.000    0.000    0.000 loader.py:1(<module>)
        1    0.000    0.000    0.002    0.002 __init__.py:52(<module>)
        1    0.000    0.000    0.000    0.000 linesearch.py:13(<module>)
        1    0.000    0.000    0.000    0.000 seqgroup.py:1(<module>)
        1    0.000    0.000    0.000    0.000 runner.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ClusteringUtils.py:3(<module>)
        1    0.000    0.000    0.000    0.000 compressed.py:1(<module>)
        1    0.000    0.000    0.000    0.000 base.py:1(<module>)
        1    0.000    0.000    0.000    0.000 quadpack.py:3(<module>)
        9    0.000    0.000    0.000    0.000 {__import__}
        1    0.000    0.000    0.000    0.000 shutil.py:5(<module>)
        1    0.000    0.000    0.000    0.000 _iotools.py:3(<module>)
        1    0.000    0.000    0.002    0.002 urlparse.py:29(<module>)
        1    0.000    0.000    0.015    0.015 type_check.py:3(<module>)
        1    0.000    0.000    0.000    0.000 kde.py:20(<module>)
      389    0.000    0.000    0.000    0.000 collections.py:329(<genexpr>)
        1    0.000    0.000    0.002    0.002 polynomial.py:4(<module>)
        1    0.000    0.000    0.000    0.000 lbfgsb.py:9(<module>)
        1    0.000    0.000    0.000    0.000 zeros.py:1(<module>)
      401    0.000    0.000    0.001    0.000 tree.py:602(iter_leaf_names)
        1    0.000    0.000    0.000    0.000 fromnumeric.py:3(<module>)
        1    0.000    0.000    0.000    0.000 main.py:1(<module>)
       51    0.000    0.000    0.000    0.000 posixpath.py:127(dirname)
        1    0.000    0.000    0.152    0.152 clustertree.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _validation.py:1(<module>)
        8    0.000    0.000    0.000    0.000 decorator.py:69(__init__)
        1    0.000    0.000    0.000    0.000 calendar.py:6(<module>)
      211    0.000    0.000    0.000    0.000 <string>:8(__new__)
        1    0.000    0.000    0.000    0.000 __init__.py:5(<module>)
        1    0.000    0.000    0.000    0.000 odepack.py:2(<module>)
        1    0.000    0.000    0.000    0.000 fftpack.py:32(<module>)
        1    0.000    0.000    0.000    0.000 arraytable.py:1(<module>)
        1    0.000    0.000    0.000    0.000 nnls.py:1(<module>)
        1    0.000    0.000    0.001    0.001 format.py:136(<module>)
      100    0.000    0.000    0.000    0.000 sre_parse.py:225(_class_escape)
        1    0.000    0.000    0.000    0.000 TreeUtils.py:218(label_internal_node)
        1    0.000    0.000    0.000    0.000 flinalg.py:5(<module>)
        1    0.000    0.000    0.000    0.000 model.py:40(<module>)
        1    0.000    0.000    0.000    0.000 slsqp.py:14(<module>)
        1    0.000    0.000    0.000    0.000 polyutils.py:33(<module>)
      211    0.000    0.000    0.000    0.000 inspect.py:67(ismethod)
       45    0.000    0.000    0.000    0.000 {_sre.compile}
        1    0.000    0.000    0.000    0.000 cobyla.py:11(<module>)
       31    0.000    0.000    0.000    0.000 _inspect.py:159(formatargspec)
       12    0.000    0.000    0.000    0.000 ctypeslib.py:311(prep_simple)
        1    0.000    0.000    0.001    0.001 __init__.py:8(<module>)
        1    0.000    0.000    0.000    0.000 arraypad.py:5(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:101(<module>)
       11    0.000    0.000    0.000    0.000 {eval}
        8    0.000    0.000    0.001    0.000 decorator.py:138(make)
        3    0.000    0.000    0.000    0.000 numeric.py:346(extend_all)
        1    0.000    0.000    0.000    0.000 heapq.py:31(<module>)
        7    0.000    0.000    0.001    0.000 nonlin.py:1483(_nonlin_wrapper)
        1    0.000    0.000    0.000    0.000 dis.py:1(<module>)
      914    0.000    0.000    0.000    0.000 {method 'group' of '_sre.SRE_Match' objects}
        2    0.000    0.000    0.000    0.000 shape_base.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:265(_reset_cache)
        1    0.000    0.000    0.001    0.001 TreeClass.py:436(get_leaf_species)
       12    0.000    0.000    0.000    0.000 abc.py:148(__subclasscheck__)
        1    0.000    0.000    0.000    0.000 minpack.py:1(<module>)
        1    0.000    0.000    0.000    0.000 numerictypes.py:304(_add_aliases)
        1    0.000    0.000    0.000    0.000 interface.py:1(<module>)
      270    0.000    0.000    0.000    0.000 {numpy.lib._compiled_base.add_docstring}
        1    0.000    0.000    0.002    0.002 _internal.py:6(<module>)
       12    0.000    0.000    0.000    0.000 utils.py:108(__call__)
        1    0.000    0.000    0.000    0.000 hmac.py:4(<module>)
        1    0.000    0.000    0.000    0.000 lil.py:2(<module>)
        1    0.000    0.000    0.000    0.000 quadpack.py:634(_OptFunc)
        1    0.000    0.000    0.000    0.000 _phyloxml.py:115(GeneratedsSuper)
       26    0.000    0.000    0.000    0.000 numerictypes.py:232(bitname)
       13    0.000    0.000    0.007    0.001 distributions.py:6451(_construct_doc)
       45    0.000    0.000    0.013    0.000 sre_compile.py:478(_code)
        1    0.000    0.000    0.291    0.291 TreeClass.py:6(<module>)
        2    0.000    0.000    0.001    0.000 utils.py:1(<module>)
        1    0.000    0.000    0.000    0.000 opcode.py:5(<module>)
        9    0.000    0.000    0.000    0.000 {zip}
        1    0.000    0.000    0.000    0.000 _trustregion_dogleg.py:1(<module>)
        1    0.000    0.000    0.000    0.000 orthogonal.py:79(<module>)
       41    0.000    0.000    0.000    0.000 _weakrefset.py:36(__init__)
        1    0.000    0.000    0.000    0.000 _datasource.py:499(Repository)
        1    0.000    0.000    0.000    0.000 _basinhopping.py:3(<module>)
        1    0.000    0.000    0.000    0.000 signals.py:1(<module>)
        1    0.000    0.000    0.000    0.000 suite.py:1(<module>)
        1    0.000    0.000    0.000    0.000 anneal.py:4(<module>)
        1    0.000    0.000    0.000    0.000 tnc.py:33(<module>)
       31    0.000    0.000    0.000    0.000 _inspect.py:61(getargs)
        1    0.000    0.000    0.000    0.000 base64.py:3(<module>)
      211    0.000    0.000    0.000    0.000 inspect.py:209(iscode)
        1    0.000    0.000    0.000    0.000 extras.py:10(<module>)
